model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted,eval_metric
NeuralNetTorch,0.9824561403508771,0.9761904761904762,0.9947089947089947,0.9931674424155628,1.0,0.9864864864864865,0.9824561403508771,0.9829302987197724,0.9523809523809523,0.9761904761904762,0.9824561403508771,0.9824561403508771,0.975609756097561,0.9809555629802873,0.9824561403508771,0.9823623542652152,accuracy
CatBoost,0.9736842105263158,0.9642857142857143,0.9990079365079365,0.9984126984126984,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
LightGBM,0.9736842105263158,0.9642857142857143,0.9986772486772487,0.9979296066252588,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
XGBoost,0.9736842105263158,0.9642857142857143,0.998015873015873,0.9970238095238095,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
NeuralNetFastAI,0.9736842105263158,0.9642857142857143,0.9927248677248677,0.9909605421900505,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
WeightedEnsemble_L2,0.9736842105263158,0.9642857142857143,0.9927248677248677,0.9909605421900505,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
ExtraTreesEntr,0.9736842105263158,0.9642857142857143,0.9983465608465608,0.997265084895747,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351,accuracy
LightGBMXT,0.9649122807017544,0.9523809523809523,0.9983465608465609,0.9973627132012226,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936,accuracy
RandomForestGini,0.9649122807017544,0.9523809523809523,0.9950396825396826,0.9922552709026873,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936,accuracy
RandomForestEntr,0.9649122807017544,0.9523809523809523,0.9970238095238095,0.99528095791162,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936,accuracy
ExtraTreesGini,0.956140350877193,0.9404761904761905,0.998015873015873,0.9966698468005087,1.0,0.9675324675324675,0.956140350877193,0.9589883800410116,0.8809523809523809,0.9404761904761905,0.956140350877193,0.956140350877193,0.9367088607594937,0.951575906889814,0.956140350877193,0.9554882874504246,accuracy
LightGBMLarge,0.9385964912280702,0.9166666666666667,0.998015873015873,0.996789321789322,1.0,0.9556962025316456,0.9385964912280702,0.944037308461026,0.8333333333333334,0.9166666666666667,0.9385964912280702,0.9385964912280702,0.9090909090909091,0.9313666465984347,0.9385964912280702,0.9372286827846255,accuracy
