model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted,eval_metric
RandomForestGini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy
RandomForestEntr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accuracy
LightGBM,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,0.9741200828157349,0.9863542254846602,0.9908424908424909,0.9793388429752066,0.9941724941724941,accuracy
CatBoost,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,1.0,1.0,1.0,0.9995408631772268,1.0,accuracy
LightGBMXT,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,1.0,1.0,1.0,0.9995408631772269,1.0,accuracy
NeuralNetFastAI,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,0.9841269841269842,0.9927849927849928,0.9963369963369964,0.9977043158861341,0.9976689976689975,accuracy
XGBoost,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,0.9979296066252589,0.9971767363071711,0.9967192228061794,0.995408631772268,0.9958041958041959,accuracy
WeightedEnsemble_L2,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,0.9979296066252589,0.9971767363071711,0.9967192228061794,0.995408631772268,0.9958041958041959,accuracy
ExtraTreesEntr,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,1.0,1.0,1.0,0.9995408631772268,1.0,accuracy
ExtraTreesGini,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,1.0,1.0,1.0,0.9995408631772267,1.0,accuracy
NeuralNetTorch,0.9393939393939394,0.9047619047619048,0.9027777777777778,0.9393939393939394,0.9482323232323233,0.9047619047619048,0.9393939393939394,0.9393939393939394,0.8897331982438366,0.9393939393939394,0.9368303091707347,1.0,1.0,1.0,0.9981634527089074,1.0,accuracy
LightGBMLarge,0.9090909090909091,0.7301587301587302,0.9615384615384616,0.9090909090909091,0.9195804195804196,0.7301587301587302,0.9090909090909091,0.9090909090909091,0.7872841444270016,0.9090909090909091,0.8955568241282527,0.982056590752243,0.9899617290921638,0.9930562191431757,0.980257116620753,0.9934731934731935,accuracy
