model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted,eval_metric
RandomForestEntr,0.8604651162790697,0.8269841269841268,0.8909722222222222,0.8604651162790697,0.8756782945736434,0.8269841269841268,0.8604651162790697,0.8604651162790697,0.8407253851080325,0.8604651162790697,0.8601608082271351,0.9720105820105821,0.961500553709856,0.9672685233292887,0.9731206057328285,0.9419278620133843,accuracy
RandomForestGini,0.8372093023255814,0.8325396825396826,0.8319978632478632,0.8372093023255814,0.8465265354800238,0.8325396825396826,0.8372093023255814,0.8372093023255814,0.8198412698412699,0.8372093023255814,0.8353266888150609,0.971931216931217,0.960393133997785,0.9662214479287651,0.9717685235262303,0.9439510574507739,accuracy
ExtraTreesEntr,0.813953488372093,0.8206349206349207,0.8670634920634921,0.813953488372093,0.8283499446290145,0.8206349206349207,0.813953488372093,0.813953488372093,0.8097701149425287,0.813953488372093,0.806495589414595,0.9745767195767195,0.9630066445182722,0.965807517988973,0.9710113574905355,0.9439038011785779,accuracy
LightGBMLarge,0.7906976744186046,0.8095238095238094,0.7932844932844932,0.7906976744186046,0.7956895817360934,0.8095238095238094,0.7906976744186046,0.7906976744186046,0.7886025851543094,0.7906976744186046,0.7869524220767204,0.9552380952380953,0.9389811738648947,0.950279513263113,0.958031368307193,0.917513181461291,accuracy
ExtraTreesGini,0.7906976744186046,0.7373015873015873,0.8181965093729798,0.7906976744186046,0.8073841343335189,0.7373015873015873,0.7906976744186046,0.7906976744186046,0.7471641261963843,0.7906976744186046,0.7828578023626785,0.9738095238095238,0.9621483942414173,0.9634500113474042,0.9678745267712277,0.9439337336436717,accuracy
CatBoost,0.7674418604651163,0.6658730158730158,0.7576388888888889,0.7674418604651163,0.7761627906976745,0.6658730158730158,0.7674418604651163,0.7674418604651163,0.6833333333333332,0.7674418604651163,0.7589147286821706,0.9548677248677249,0.9412181616832778,0.9463007733192762,0.956625202812331,0.9257559134483265,accuracy
LightGBMXT,0.7674418604651163,0.7531746031746032,0.8479166666666668,0.7674418604651163,0.7886627906976743,0.7531746031746032,0.7674418604651163,0.7674418604651163,0.7613830181683352,0.7674418604651163,0.7619965336161627,0.9576190476190476,0.9397009966777408,0.9460996635828428,0.9611681990265009,0.9138072838226378,accuracy
XGBoost,0.7441860465116279,0.6547619047619048,0.5552884615384616,0.7441860465116279,0.6917859272510435,0.6547619047619048,0.7441860465116279,0.7441860465116279,0.5952380952380952,0.7441860465116279,0.71140642303433,0.8968518518518518,0.886987818383167,0.8934205915335015,0.9008112493239588,0.8741448116594811,accuracy
NeuralNetTorch,0.7209302325581395,0.730952380952381,0.6712962962962963,0.7209302325581395,0.7009043927648579,0.730952380952381,0.7209302325581395,0.7209302325581395,0.6923611111111111,0.7209302325581395,0.7029069767441861,0.9405820105820106,0.9184163898117385,0.9221322773572563,0.9385613845321795,0.8956951037891638,accuracy
LightGBM,0.7209302325581395,0.6865079365079364,0.6607142857142857,0.7209302325581395,0.7151162790697675,0.6865079365079364,0.7209302325581395,0.7209302325581395,0.6669571807502842,0.7209302325581395,0.7146893203027926,0.9455291005291006,0.9292912513842746,0.9376227062097541,0.9504597079502434,0.9107860711455681,accuracy
WeightedEnsemble_L2,0.7209302325581395,0.6865079365079364,0.6607142857142857,0.7209302325581395,0.7151162790697675,0.6865079365079364,0.7209302325581395,0.7209302325581395,0.6669571807502842,0.7209302325581395,0.7146893203027926,0.9455291005291006,0.9292912513842746,0.9376227062097541,0.9504597079502434,0.9107860711455681,accuracy
NeuralNetFastAI,0.6976744186046512,0.7031746031746032,0.6954499748617394,0.6976744186046512,0.7041109824967553,0.7031746031746032,0.6976744186046512,0.6976744186046512,0.6880486896615929,0.6976744186046512,0.6937880574039614,0.9386507936507936,0.9220487264673309,0.9352554374631752,0.9285018929150891,0.8964717166948865,accuracy
