model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted,eval_metric
NeuralNetFastAI,0.8858695652173914,0.8779292204686753,0.9380679100908655,0.9411755653970854,0.8584070796460177,0.893992272217375,0.8858695652173914,0.890124316503097,0.9509803921568627,0.8779292204686753,0.8858695652173914,0.8858695652173914,0.9023255813953488,0.8825353397172823,0.8858695652173914,0.8846864529431591,accuracy
WeightedEnsemble_L2,0.8858695652173914,0.8779292204686753,0.9380679100908655,0.9411755653970854,0.8584070796460177,0.893992272217375,0.8858695652173914,0.890124316503097,0.9509803921568627,0.8779292204686753,0.8858695652173914,0.8858695652173914,0.9023255813953488,0.8825353397172823,0.8858695652173914,0.8846864529431591,accuracy
RandomForestGini,0.8858695652173914,0.8815160210425633,0.9335844093735055,0.9357633821029365,0.8785046728971962,0.8873042845005461,0.8858695652173914,0.8863478049784428,0.9215686274509803,0.8815160210425633,0.8858695652173914,0.8858695652173914,0.8995215311004785,0.8837230297011827,0.8858695652173914,0.8854402581141495,accuracy
RandomForestEntr,0.8804347826086957,0.8766140602582496,0.9282042085126734,0.9148919855977156,0.8773584905660378,0.8809869375907111,0.8804347826086957,0.8805925411749859,0.9117647058823529,0.8766140602582496,0.8804347826086957,0.8804347826086957,0.8942307692307693,0.8783653846153847,0.8804347826086957,0.8800898829431439,accuracy
NeuralNetTorch,0.875,0.8657340985174558,0.9188187470109995,0.9140881825365865,0.8434782608695652,0.8855072463768117,0.875,0.8809388783868934,0.9509803921568627,0.8657340985174558,0.875,0.875,0.8940092165898618,0.8708456678975799,0.875,0.8733634449293496,accuracy
ExtraTreesEntr,0.875,0.8681252989000479,0.9372309899569583,0.9283950732482055,0.8558558558558559,0.8799827224484759,0.875,0.877360236949278,0.9313725490196079,0.8681252989000479,0.875,0.875,0.892018779342723,0.8718158412842647,0.875,0.874011812812358,accuracy
ExtraTreesGini,0.875,0.8681252989000479,0.9346604495456718,0.9361172056805587,0.8558558558558559,0.8799827224484759,0.875,0.877360236949278,0.9313725490196079,0.8681252989000479,0.875,0.875,0.892018779342723,0.8718158412842647,0.875,0.874011812812358,accuracy
CatBoost,0.8695652173913043,0.8632233381157342,0.9286226685796268,0.9215489280701235,0.8545454545454545,0.8732186732186732,0.8695652173913043,0.8711889755368015,0.9215686274509803,0.8632233381157342,0.8695652173913043,0.8695652173913043,0.8867924528301887,0.8664731494920175,0.8695652173913043,0.8686817694200796,accuracy
XGBoost,0.8695652173913043,0.8668101386896222,0.9189383070301291,0.9158982789100223,0.875,0.86875,0.8695652173913043,0.869429347826087,0.8921568627450981,0.8668101386896222,0.8695652173913043,0.8695652173913043,0.883495145631068,0.8676734987414599,0.8695652173913043,0.8693932429685912,accuracy
LightGBM,0.8641304347826086,0.8595169775227164,0.9190578670492586,0.9144541617758373,0.8598130841121495,0.8649714771210097,0.8641304347826086,0.8644107822287425,0.9019607843137255,0.8595169775227164,0.8641304347826086,0.8641304347826086,0.8803827751196173,0.8615750353585507,0.8641304347826086,0.8636193548977972,accuracy
LightGBMLarge,0.8532608695652174,0.8497130559540889,0.907221425155428,0.9126357768610658,0.8571428571428571,0.8526220614828209,0.8532608695652174,0.8531134523154336,0.8823529411764706,0.8497130559540889,0.8532608695652174,0.8532608695652174,0.8695652173913043,0.8509316770186335,0.8532608695652174,0.8529570618417499,accuracy
LightGBMXT,0.8532608695652174,0.847321855571497,0.9064442850310855,0.8990094150917314,0.8440366972477065,0.8553516819571866,0.8532608695652174,0.8541217923148517,0.9019607843137255,0.847321855571497,0.8532608695652174,0.8532608695652174,0.8720379146919431,0.8500316961994747,0.8532608695652174,0.8524236764703952,accuracy
