model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted,eval_metric
NeuralNetFastAI,0.8032359081419624,0.7636805354617866,0.8083209131093871,0.5511306186944749,0.5907859078590786,0.7401635961313742,0.8032359081419624,0.8150863301760903,0.6848167539267016,0.7636805354617866,0.8032359081419624,0.8032359081419624,0.6343355965082444,0.7498704044661894,0.8032359081419624,0.807818708457622,accuracy
LightGBMXT,0.802713987473904,0.7318538253379848,0.8223362031784853,0.5627386626906559,0.6071044133476857,0.7362080799084278,0.802713987473904,0.8009620588044993,0.5905759162303665,0.7318538253379848,0.802713987473904,0.802713987473904,0.5987261146496815,0.7339651334494082,0.802713987473904,0.8017963949663901,accuracy
LightGBM,0.8024530271398748,0.7393749306196282,0.8184887544653663,0.557872308483891,0.6016427104722792,0.7362657219261326,0.8024530271398748,0.8037880152492813,0.6136125654450262,0.7393749306196282,0.8024530271398748,0.8024530271398748,0.607568688439606,0.737786087898966,0.8024530271398748,0.8030986770850022,accuracy
NeuralNetTorch,0.800365344467641,0.7264422473235099,0.8047151355669718,0.5558962554331484,0.6037117903930131,0.7329258540442432,0.800365344467641,0.7977352043411284,0.5790575916230366,0.7264422473235099,0.800365344467641,0.800365344467641,0.5911277391769107,0.7295359048033699,0.800365344467641,0.7989567018634051,accuracy
WeightedEnsemble_L2,0.7993215031315241,0.7225991661616686,0.8199469706482356,0.5584722063205414,0.6031042128603105,0.7314155876588242,0.7993215031315241,0.7957721801334441,0.5696335078534032,0.7225991661616686,0.7993215031315241,0.7993215031315241,0.5858912224017232,0.7267324202244538,0.7993215031315241,0.7973735429319925,accuracy
CatBoost,0.7987995824634656,0.7330943918821781,0.8171442765970224,0.5535907098184052,0.5952380952380952,0.7313245605290266,0.7987995824634656,0.7995808721911275,0.6020942408376964,0.7330943918821781,0.7987995824634656,0.7987995824634656,0.5986465382613222,0.7321980732400116,0.7987995824634656,0.7991829506484253,accuracy
LightGBMLarge,0.7956680584551148,0.7163186274242185,0.8150407547128609,0.5469957225451053,0.5961968680089486,0.7262808710364688,0.7956680584551148,0.7915265531395204,0.5581151832460733,0.7163186274242185,0.7956680584551148,0.7956680584551148,0.5765278528934559,0.7209380451053694,0.7956680584551148,0.7933692532033072,accuracy
XGBoost,0.7922755741127349,0.6972704624326898,0.8167535627389642,0.5545339616411765,0.5980271270036991,0.7212247518500786,0.7922755741127349,0.7830164624332575,0.5078534031413613,0.6972704624326898,0.7922755741127349,0.7922755741127349,0.549263873159683,0.7071514347148025,0.7922755741127349,0.7863424298371772,accuracy
RandomForestGini,0.7888830897703549,0.699208381330902,0.8016254570005478,0.5256729503684432,0.5860849056603774,0.7162998254843442,0.7888830897703549,0.7816111709701646,0.5204188481675392,0.699208381330902,0.7888830897703549,0.7888830897703549,0.5513033832501386,0.70663616526438,0.7888830897703549,0.7845457704395815,accuracy
RandomForestEntr,0.7839248434237995,0.6913593457408186,0.8039977652695963,0.5304469229326154,0.5755053507728894,0.7090164667605671,0.7839248434237995,0.7759810713869544,0.506806282722513,0.6913593457408186,0.7839248434237995,0.7839248434237995,0.5389755011135857,0.6989356033175291,0.7839248434237995,0.7791661138697157,accuracy
ExtraTreesGini,0.7784446764091858,0.6702213074628713,0.7987554298671355,0.532744639880907,0.5695538057742782,0.6999234826916994,0.7784446764091858,0.7653124490370239,0.4544502617801047,0.6702213074628713,0.7784446764091858,0.7784446764091858,0.5055329062317997,0.6813859251185903,0.7784446764091858,0.769587778537278,accuracy
ExtraTreesEntr,0.7774008350730689,0.6705754430789781,0.7975532613779259,0.5290094628427104,0.5660621761658031,0.6983905652070845,0.7774008350730689,0.7647619544913599,0.45759162303664924,0.6705754430789781,0.7774008350730689,0.7774008350730689,0.5060799073537927,0.6812023252450283,0.7774008350730689,0.7690377342186596,accuracy
