model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted,eval_metric
WeightedEnsemble_L2,0.98275,0.98255040136936,0.9826643456117649,0.98275,0.9829112129477344,0.98255040136936,0.98275,0.98275,0.9825427415195924,0.98275,0.9827669089239438,0.9999020202547102,0.9999032133199376,0.9999028121752835,0.9999082625000001,0.9999044475310195,accuracy
NeuralNetTorch,0.9785,0.9783176194369827,0.9783491459638374,0.9785,0.9787018635228296,0.9783176194369827,0.9785,0.9785,0.9782552582191252,0.9785,0.9785241210276544,0.9998929208284926,0.9998940800679351,0.9998937071594087,0.99990997625,0.9998952800698784,accuracy
NeuralNetFastAI,0.9755,0.9754139127800792,0.9757176665200861,0.9755,0.9760345686083778,0.9754139127800792,0.9755,0.9755,0.9753536521126933,0.9755,0.9755585349553729,0.9998398235502338,0.9998414044428011,0.9998410327641006,0.9998609775,0.9998430350112938,accuracy
ExtraTreesGini,0.973,0.9727988545422479,0.9732039863300805,0.973,0.973261844445142,0.9727988545422479,0.973,0.973,0.9728741201415306,0.973,0.9730028887715351,0.9996722825043141,0.9996737105338201,0.9996730839658553,0.99968214375,0.9996752035788224,accuracy
LightGBM,0.97175,0.9715613622377816,0.9716993213971168,0.97175,0.9719328930992199,0.9715613622377816,0.97175,0.97175,0.9715287260167578,0.97175,0.9717404676680446,0.9997301364965537,0.9997326426112463,0.9997318077946363,0.9997559725,0.9997352535677031,accuracy
ExtraTreesEntr,0.96875,0.9685534291905031,0.968868939935301,0.96875,0.9689518934575723,0.9685534291905031,0.96875,0.96875,0.9686160259134792,0.96875,0.9687552878801233,0.9996491983558631,0.9996506782948146,0.9996500474702101,0.9996607549999998,0.9996522285933548,accuracy
RandomForestGini,0.96775,0.967450303447676,0.9679711954988299,0.96775,0.9680313634486883,0.967450303447676,0.96775,0.96775,0.9675640790555853,0.96775,0.9677446741832972,0.9996034477628473,0.999605991787892,0.9996050258198441,0.9996565825,0.9996086689856787,accuracy
RandomForestEntr,0.967,0.966826098747457,0.9672432471541589,0.967,0.9672204347150339,0.966826098747457,0.967,0.967,0.9669304281399854,0.967,0.9670056693570788,0.999617241962812,0.9996198897637828,0.9996187736289059,0.99966485625,0.9996226880079535,accuracy
LightGBMXT,0.9665,0.9662778790749194,0.9667122744234837,0.9665,0.9669491015675201,0.9662778790749194,0.9665,0.9665,0.9663173532334597,0.9665,0.9665475369214899,0.9995125409090905,0.9995165293887951,0.999515220472229,0.99955342,0.9995207005102489,accuracy
CatBoost,0.9645,0.9643605326669273,0.9650059681025793,0.9645,0.9650324157725759,0.9643605326669273,0.9645,0.9645,0.9644660314057613,0.9645,0.9645490390713075,0.9997213950616144,0.9997236839727449,0.9997231503648073,0.9997650275000001,0.9997260675012122,accuracy
XGBoost,0.9605,0.9603356273582958,0.9606824676420673,0.9605,0.9609396953899286,0.9603356273582958,0.9605,0.9605,0.9603292803137139,0.9605,0.9605413329358768,0.9995897852057277,0.9995936034096977,0.9995922673111501,0.9996124424999999,0.9995975876087262,accuracy
LightGBMLarge,0.95975,0.9595928617197163,0.9600763293623812,0.95975,0.9601802403546923,0.9595928617197163,0.95975,0.95975,0.959608601944592,0.95975,0.9597411831990235,0.99941931125114,0.9994240900719248,0.9994225889324712,0.9994439687500001,0.9994290830465824,accuracy
