model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted,eval_metric
RandomForestEntr,0.6363636363636364,0.4880286100436674,0.5570999352682521,0.6363636363636364,0.6262034578416217,0.4880286100436674,0.6363636363636364,0.6363636363636364,0.4987571143061558,0.6363636363636364,0.6270447800728135,0.7953156624580179,0.8438051811982599,0.8121951345874162,0.9348699616189329,0.8430331119265456,accuracy
RandomForestGini,0.6262626262626263,0.45645081763638196,0.5403987842223137,0.6262626262626263,0.6163188091589755,0.45645081763638184,0.6262626262626263,0.6262626262626263,0.47217084403104764,0.6262626262626263,0.6163907630698556,0.7880970635463143,0.8399882918695969,0.8070491635797774,0.9337451078940043,0.8438501449777387,accuracy
ExtraTreesGini,0.6161616161616161,0.4485212969909145,0.5334378380660381,0.6161616161616161,0.607673996562475,0.44852129699091436,0.6161616161616161,0.6161616161616161,0.46512342608968965,0.6161616161616161,0.6064675986917709,0.784146769672821,0.8395108512546456,0.8037718964995193,0.9318247948999913,0.8479678341917232,accuracy
ExtraTreesEntr,0.6094276094276094,0.4262115528882221,0.5087376460017969,0.6094276094276094,0.6037004264467578,0.42621155288822204,0.6094276094276094,0.6094276094276094,0.44197682617536793,0.6094276094276094,0.6016286177220344,0.7770891998818664,0.8398641350833702,0.8056776489608319,0.9307295425888766,0.8479059512416045,accuracy
CatBoost,0.6026936026936027,0.47089527696549993,0.5332156699889257,0.6026936026936027,0.5998439544951173,0.47089527696549993,0.6026936026936027,0.6026936026936027,0.47841928416894064,0.6026936026936027,0.5966178628564214,0.7840548521228159,0.8495055698479447,0.8270502736231101,0.9377173657009047,0.8471279753717471,accuracy
WeightedEnsemble_L2,0.5993265993265994,0.4601047732171139,0.5219203691994933,0.5993265993265994,0.5955398265518596,0.46010477321711374,0.5993265993265994,0.5993265993265994,0.4652513481631278,0.5993265993265994,0.5924260316530848,0.797766425872645,0.8503080582385214,0.81989323130129,0.9387427082900333,0.854247551003496,accuracy
NeuralNetFastAI,0.5959595959595959,0.4576235406640777,0.5152432133140337,0.5959595959595959,0.5907935872220749,0.45762354066407757,0.5959595959595959,0.5959595959595959,0.4590434377468278,0.5959595959595959,0.5864147869067812,0.7867320737587304,0.8350123219362439,0.8109070694719257,0.9306571135976298,0.8449147702047913,accuracy
LightGBMXT,0.5959595959595959,0.4378574862678256,0.4409896077817764,0.5959595959595959,0.581447223294917,0.43785748626782545,0.5959595959595959,0.5959595959595959,0.43542932514169574,0.5959595959595959,0.5857934371228971,0.8003573442418258,0.8464498741381248,0.820086978375485,0.9378357713561605,0.8485029577094856,accuracy
XGBoost,0.5858585858585859,0.4328115744922626,0.5335035493344138,0.5858585858585859,0.5839134822646209,0.43281157449226254,0.5858585858585859,0.5858585858585859,0.45552064765300065,0.5858585858585859,0.5784934160379792,0.7487392263146504,0.8062561171525624,0.7669996655849566,0.9209717829246449,0.8194236590292185,accuracy
NeuralNetTorch,0.5824915824915825,0.45440363492233615,0.5065717338217338,0.5824915824915825,0.5754424690535801,0.454403634922336,0.5824915824915825,0.5824915824915825,0.4568135173550846,0.5824915824915825,0.5754059927064759,0.8063983100687573,0.8562922565270044,0.8283845224800833,0.9373155422538137,0.8469107302773881,accuracy
LightGBMLarge,0.569023569023569,0.3789215968958227,0.5558793243793243,0.569023569023569,0.5740378894082598,0.3789215968958226,0.569023569023569,0.569023569023569,0.4084936378285585,0.569023569023569,0.5579650328124091,0.7495395576167126,0.8012466421469964,0.7747938338734808,0.9143108349992003,0.8159921305388819,accuracy
LightGBM,0.5555555555555556,0.368613728687274,0.4260368217054264,0.5555555555555556,0.5425462636702947,0.3686137286872738,0.5555555555555556,0.5555555555555556,0.385299543208209,0.5555555555555556,0.5426932141223937,0.7691903627899088,0.8132135308801209,0.78387744428914,0.9178592257529782,0.8150167733038209,accuracy
