model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted,eval_metric
CatBoost_BAG_L1_FULL,0.6882591093117408,0.6793372216611233,0.7363124163859703,0.6897400937034388,0.6863157894736842,0.6878947368421053,0.6882591093117408,0.688036650330279,0.5800711743772242,0.6793372216611233,0.6882591093117408,0.6882591093117408,0.6287367405978785,0.6800348043533706,0.6882591093117408,0.6846453995573054,accuracy
LightGBM_BAG_L1_FULL,0.68582995951417,0.676081231856086,0.7306901164911985,0.6773478081586431,0.6875,0.6861624513618677,0.68582995951417,0.686042234439736,0.5676156583629893,0.676081231856086,0.68582995951417,0.68582995951417,0.621832358674464,0.6765671488663179,0.68582995951417,0.6814866320333589,accuracy
LightGBMXT_BAG_L1_FULL,0.6842105263157895,0.6772366257211297,0.7323769386557244,0.6855268622145809,0.6713147410358565,0.6821785164933716,0.6842105263157895,0.6831549367976504,0.599644128113879,0.6772366257211297,0.6842105263157895,0.6842105263157895,0.6334586466165414,0.6780380004064215,0.6842105263157895,0.6820447277510989,accuracy
NeuralNetTorch_BAG_L1_FULL,0.682591093117409,0.6750170532961774,0.73334064818389,0.6885568053884077,0.6720647773279352,0.6808367071524966,0.682591093117409,0.6816251154201293,0.5907473309608541,0.6750170532961774,0.682591093117409,0.682591093117409,0.6287878787878788,0.6757800780078007,0.682591093117409,0.6800036683830327,accuracy
XGBoost_BAG_L1_FULL,0.6809716599190283,0.6711833665586184,0.7265537006974666,0.6730855287506994,0.6810344827586207,0.6809841674493493,0.6809716599190283,0.680979645182686,0.5622775800711743,0.6711833665586184,0.6809716599190283,0.6809716599190283,0.6159844054580896,0.6715656099312609,0.6809716599190283,0.6765611675802666,accuracy
WeightedEnsemble_L2_FULL,0.6753036437246963,0.6686240501710617,0.7280924632362661,0.6821479197336682,0.6587771203155819,0.6727951535643844,0.6753036437246963,0.6740550739616451,0.594306049822064,0.6686240501710617,0.6753036437246963,0.6753036437246963,0.6248830682881198,0.669329471331783,0.6753036437246963,0.6733242492571648,accuracy
LightGBMLarge_BAG_L1_FULL,0.6728744939271255,0.6608191927577691,0.7165649638047094,0.6600091679121555,0.6820276497695853,0.6749713779434693,0.6728744939271255,0.6743371705161827,0.5266903914590747,0.6608191927577691,0.6728744939271255,0.6728744939271255,0.5943775100401606,0.6601466926048836,0.6728744939271255,0.6660579308758828,accuracy
NeuralNetFastAI_BAG_L1_FULL,0.6720647773279352,0.6649185936450693,0.7246738722351187,0.6791877119863536,0.656686626746507,0.6696239673242073,0.6720647773279352,0.670786756639288,0.5854092526690391,0.6649185936450693,0.6720647773279352,0.6720647773279352,0.6190028222013171,0.6655781701624922,0.6720647773279352,0.6697642945541444,accuracy
RandomForestEntr_BAG_L1,0.6615384615384615,0.6488038897378816,0.7008111552352297,0.6468769982144004,0.6690140845070423,0.6633080311286756,0.6615384615384615,0.6627951793675431,0.5071174377224199,0.6488038897378816,0.6615384615384615,0.6615384615384615,0.5769230769230769,0.6474358974358974,0.6615384615384615,0.6537734869718675,accuracy
RandomForestEntr_BAG_L1_FULL,0.6615384615384615,0.6488038897378816,0.7008111552352297,0.6468769982144004,0.6690140845070423,0.6633080311286756,0.6615384615384615,0.6627951793675431,0.5071174377224199,0.6488038897378816,0.6615384615384615,0.6615384615384615,0.5769230769230769,0.6474358974358974,0.6615384615384615,0.6537734869718675,accuracy
RandomForestGini_BAG_L1,0.6615384615384615,0.6488038897378816,0.6999677441529668,0.6464517156838949,0.6690140845070423,0.6633080311286756,0.6615384615384615,0.6627951793675431,0.5071174377224199,0.6488038897378816,0.6615384615384615,0.6615384615384615,0.5769230769230769,0.6474358974358974,0.6615384615384615,0.6537734869718675,accuracy
RandomForestGini_BAG_L1_FULL,0.6615384615384615,0.6488038897378816,0.6999677441529668,0.6464517156838949,0.6690140845070423,0.6633080311286756,0.6615384615384615,0.6627951793675431,0.5071174377224199,0.6488038897378816,0.6615384615384615,0.6615384615384615,0.5769230769230769,0.6474358974358974,0.6615384615384615,0.6537734869718675,accuracy
ExtraTreesGini_BAG_L1,0.6607287449392713,0.6482076853521439,0.6999584904263589,0.6474080128314466,0.6666666666666666,0.6621174524400331,0.6607287449392713,0.6617085756957769,0.5088967971530249,0.6482076853521439,0.6607287449392713,0.6607287449392713,0.5771947527749748,0.64694761303387,0.6607287449392713,0.6532168984498518,accuracy
ExtraTreesGini_BAG_L1_FULL,0.6607287449392713,0.6482076853521439,0.6999584904263589,0.6474080128314466,0.6666666666666666,0.6621174524400331,0.6607287449392713,0.6617085756957769,0.5088967971530249,0.6482076853521439,0.6607287449392713,0.6607287449392713,0.5771947527749748,0.64694761303387,0.6607287449392713,0.6532168984498518,accuracy
ExtraTreesEntr_BAG_L1,0.6574898785425102,0.6449424418204989,0.7002175947713801,0.6495659981632734,0.662004662004662,0.6585457553199489,0.6574898785425102,0.6582348738284483,0.505338078291815,0.6449424418204989,0.6574898785425102,0.6574898785425102,0.5731584258324924,0.6435771845186803,0.6574898785425102,0.6499063199147669,accuracy
ExtraTreesEntr_BAG_L1_FULL,0.6574898785425102,0.6449424418204989,0.7002175947713801,0.6495659981632734,0.662004662004662,0.6585457553199489,0.6574898785425102,0.6582348738284483,0.505338078291815,0.6449424418204989,0.6574898785425102,0.6574898785425102,0.5731584258324924,0.6435771845186803,0.6574898785425102,0.6499063199147669,accuracy
