model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted,eval_metric
LightGBM,0.8041163946061036,0.708712444134439,0.8442416492288615,0.6524206709629526,0.675,0.7555690876882197,0.8041163946061036,0.7933662253474909,0.5053475935828877,0.708712444134439,0.8041163946061036,0.8041163946061036,0.5779816513761468,0.7252200308636741,0.8041163946061036,0.7942935360739336,accuracy
CatBoost,0.801277501774308,0.7033648505515513,0.8376217417138133,0.6506986087170438,0.6702898550724637,0.7517380431584737,0.801277501774308,0.7899475905856225,0.4946524064171123,0.7033648505515513,0.801277501774308,0.801277501774308,0.5692307692307692,0.720039738858927,0.801277501774308,0.7907883044545355,accuracy
XGBoost,0.7991483321504613,0.706184608230644,0.8368002273373117,0.6460643731726865,0.657439446366782,0.7465768660405339,0.7991483321504613,0.7883936399258072,0.5080213903743316,0.706184608230644,0.7991483321504613,0.7991483321504613,0.5731523378582202,0.7209149160288781,0.7991483321504613,0.7902343370159645,accuracy
LightGBMXT,0.7984386089425124,0.6971634503603813,0.8402064119455424,0.6386306033907083,0.6666666666666666,0.7481709101551068,0.7984386089425124,0.7864067546872991,0.48128342245989303,0.6971634503603813,0.7984386089425124,0.7984386089425124,0.5590062111801242,0.7141857182855542,0.7984386089425124,0.7869846211930698,accuracy
NeuralNetTorch,0.7955997161107168,0.7208452814590922,0.8404505412178046,0.6348028095166359,0.6287425149700598,0.7380921877175881,0.7955997161107168,0.7893910760682739,0.5614973262032086,0.7208452814590922,0.7955997161107168,0.7955997161107168,0.5932203389830508,0.7283637239938952,0.7955997161107168,0.791763140240998,accuracy
WeightedEnsemble_L2,0.7934705464868701,0.7151269730553618,0.8425999121651295,0.6427062922003531,0.6269113149847095,0.7353595391929093,0.7934705464868701,0.7862355336582181,0.5481283422459893,0.7151269730553618,0.7934705464868701,0.7934705464868701,0.5848787446504993,0.7237100383620942,0.7934705464868701,0.7888395523034457,accuracy
RandomForestEntr,0.7885024840312278,0.6929615851610736,0.8190201245188458,0.6087597771926142,0.6310344827586207,0.7301731841853872,0.7885024840312278,0.7766818297802011,0.4893048128342246,0.6929615851610736,0.7885024840312278,0.7885024840312278,0.5512048192771084,0.7064287791835867,0.7885024840312278,0.7792485361020979,accuracy
LightGBMLarge,0.7863733144073811,0.6966351494484486,0.8287904621664212,0.6335454909117333,0.6196721311475409,0.7260498336897125,0.7863733144073811,0.7759544904536412,0.5053475935828877,0.6966351494484486,0.7863733144073811,0.7863733144073811,0.5567010309278351,0.7079905341642447,0.7863733144073811,0.7789645310693313,accuracy
NeuralNetFastAI,0.7849538679914834,0.6871308997907464,0.8098607558965616,0.5888067272211288,0.6236933797909407,0.7249482941735452,0.7849538679914834,0.7724497124893023,0.4786096256684492,0.6871308997907464,0.7849538679914834,0.7849538679914834,0.5416036308623298,0.7005653759318603,0.7849538679914834,0.7751386289417679,accuracy
RandomForestGini,0.7842441447835344,0.687501614611589,0.8171239246686817,0.6047080189170428,0.6206896551724138,0.7236602878185572,0.7842441447835344,0.7719665959655415,0.48128342245989303,0.687501614611589,0.7842441447835344,0.7842441447835344,0.5421686746987951,0.7005179492342629,0.7842441447835344,0.7748038757551601,accuracy
ExtraTreesGini,0.7821149751596878,0.680075692991294,0.8099731328631584,0.5939759819631618,0.6200716845878136,0.7210977891965616,0.7821149751596878,0.7684918666602824,0.4625668449197861,0.680075692991294,0.7821149751596878,0.7821149751596878,0.5298621745788668,0.6940303944487867,0.7821149751596878,0.7710461455730004,accuracy
ExtraTreesEntr,0.7821149751596878,0.6826371128161409,0.8098594642072903,0.5948341557945385,0.6175438596491228,0.7206936380096147,0.7821149751596878,0.7690839882553815,0.47058823529411764,0.6826371128161409,0.7821149751596878,0.7821149751596878,0.5341426403641881,0.695973589751339,0.7821149751596878,0.7718928640912304,accuracy
KNeighborsUnif,0.7601135557132718,0.6633922343641013,0.7471879924565346,0.4969837000833719,0.5588235294117647,0.6873900058663538,0.7601135557132718,0.7477040164671226,0.4572192513368984,0.6633922343641013,0.7601135557132718,0.7601135557132718,0.5029411764705882,0.672424751004237,0.7601135557132718,0.7519340787308104,accuracy
KNeighborsDist,0.7338537970191625,0.6361259655377303,0.7190433749257279,0.4789648619320098,0.4984423676012461,0.6508755955653289,0.7338537970191625,0.722386144667003,0.42780748663101603,0.6361259655377303,0.7338537970191625,0.7338537970191625,0.460431654676259,0.6418974100041681,0.7338537970191625,0.7270279027449401,accuracy
