model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted,eval_metric
CatBoost_BAG_L1_FULL,0.8040187891440501,0.748462348978266,0.8172114276979182,0.5589008531016052,0.6005917159763313,0.7389048005005858,0.8040187891440501,0.8082779081351414,0.6376963350785341,0.748462348978266,0.8040187891440501,0.8040187891440501,0.6185881157948198,0.7433590271687005,0.8040187891440501,0.8059398444078965,accuracy
LightGBM_BAG_L1_FULL,0.8029749478079332,0.7432201955571085,0.8188647278378619,0.5510865706876034,0.6008064516129032,0.737199000454339,0.8029749478079332,0.8056088331456853,0.6240837696335079,0.7432201955571085,0.8029749478079332,0.8029749478079332,0.6122239342578326,0.7400808319181414,0.8029749478079332,0.8042094742206242,accuracy
XGBoost_BAG_L1_FULL,0.8024530271398748,0.7460205238513795,0.8170825849352237,0.5409943008359981,0.5978260869565217,0.7368563058896084,0.8024530271398748,0.8065891035903894,0.6335078534031413,0.7460205238513795,0.8024530271398748,0.8024530271398748,0.6151499745805795,0.7411365108992067,0.8024530271398748,0.8043270439901257,accuracy
WeightedEnsemble_L2_FULL,0.8024530271398748,0.7586121741852242,0.8186741934133688,0.5615298280393868,0.5913284132841329,0.7385317466711785,0.8024530271398748,0.8123638987510067,0.6712041884816754,0.7586121741852242,0.8024530271398748,0.8024530271398748,0.6287395782246199,0.7470809002234211,0.8024530271398748,0.8064368555683312,accuracy
LightGBMXT_BAG_L1_FULL,0.8016701461377871,0.7329074970837497,0.8212040974910237,0.5600376318472741,0.6033934252386002,0.7348915897394108,0.8016701461377871,0.8008465668194105,0.5958115183246073,0.7329074970837497,0.8016701461377871,0.8016701461377871,0.5995785036880927,0.7338856791766859,0.8016701461377871,0.8012495599932508,accuracy
LightGBMLarge_BAG_L1_FULL,0.8014091858037579,0.7327337049391546,0.8161748621946581,0.5481090260294815,0.6027542372881356,0.7345488637964224,0.8014091858037579,0.8006525360691068,0.5958115183246073,0.7327337049391546,0.8014091858037579,0.8014091858037579,0.5992627698788836,0.7336296503340645,0.8014091858037579,0.8010234771176913,accuracy
NeuralNetTorch_BAG_L2_FULL,0.8014091858037579,0.7761049449779529,0.8172842202192147,0.5694353488440982,0.5813758389261745,0.7410667073418751,0.8014091858037579,0.8211621794439046,0.7256544502617801,0.7761049449779529,0.8014091858037579,0.8014091858037579,0.6455519329296693,0.7538073240867307,0.8014091858037579,0.8081045218434821,accuracy
CatBoost_BAG_L2_FULL,0.8008872651356994,0.7705108397163276,0.8182454454629331,0.5508944807111454,0.5824742268041238,0.7393255691741758,0.8008872651356994,0.8179968322313887,0.7099476439790576,0.7705108397163276,0.8008872651356994,0.8008872651356994,0.6399244926852289,0.7511615249720103,0.8008872651356994,0.8069542118340128,accuracy
NeuralNetFastAI_BAG_L2_FULL,0.8008872651356994,0.7824029539205142,0.817550276884553,0.5635986837343148,0.577922077922078,0.7422302697302697,0.8008872651356994,0.8246416331580736,0.7455497382198953,0.7824029539205142,0.8008872651356994,0.8008872651356994,0.6511202560585276,0.7559052074523056,0.8008872651356994,0.8084617514446963,accuracy
ExtraTreesEntr_BAG_L2_FULL,0.800365344467641,0.7670153428436762,0.8170520120762792,0.5518336102582571,0.5827526132404182,0.7380976180956189,0.800365344467641,0.81601335382936,0.7005235602094241,0.7670153428436762,0.800365344467641,0.800365344467641,0.6362339514978602,0.7493343826901278,0.800365344467641,0.8060616866440782,accuracy
