model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted,eval_metric
LightGBM_BAG_L2_FULL,0.98425,0.9840715660587296,0.9841772378625904,0.98425,0.9843353159716254,0.9840715660587296,0.98425,0.98425,0.9840705675546467,0.98425,0.984239422680198,0.9998118347134213,0.9998137577881178,0.9998128131950187,0.9997576850000001,0.9998157749285029,accuracy
WeightedEnsemble_L3_FULL,0.98425,0.9840878007210324,0.9841981910586678,0.98425,0.9843462172074795,0.9840878007210324,0.98425,0.98425,0.9840818438618686,0.98425,0.9842376536568181,0.9997087588420496,0.9997123101390502,0.9997109978306794,0.9997434325,0.9997160155926711,accuracy
WeightedEnsemble_L2_FULL,0.98325,0.983083629261648,0.9831309736687406,0.98325,0.9833188741055495,0.983083629261648,0.98325,0.98325,0.9830558279024821,0.98325,0.9832334154119999,0.9997936359376588,0.9997955248213097,0.999795029512095,0.9997929425,0.9997974889670547,accuracy
XGBoost_BAG_L2_FULL,0.98275,0.9825934851731096,0.9826917809219758,0.98275,0.9828366383729733,0.9825934851731096,0.98275,0.98275,0.9825900536890285,0.98275,0.9827413879138823,0.9996315309853223,0.9996348141148442,0.999632525261896,0.9996664975000001,0.9996383043567415,accuracy
ExtraTreesEntr_BAG_L2_FULL,0.982,0.9818163551280553,0.9819956157762693,0.982,0.9821139199208676,0.9818163551280553,0.982,0.982,0.9818101578946314,0.982,0.9819623827351919,0.9996598538797125,0.9996634100468514,0.9996616373298904,0.9996731850000001,0.9996671543248729,accuracy
LightGBMXT_BAG_L2_FULL,0.9815,0.981375092392056,0.9814734889495319,0.9815,0.9816501287247915,0.981375092392056,0.9815,0.9815,0.9813346340296814,0.9815,0.9814847700056095,0.9998881706711329,0.9998894597279551,0.9998891533811556,0.9999106375,0.9998907967027195,accuracy
ExtraTreesGini_BAG_L2_FULL,0.981,0.9807223637618544,0.9809855479736456,0.981,0.9810714090653962,0.9807223637618544,0.981,0.981,0.9807550003298593,0.981,0.9809384149943229,0.9996443842832745,0.9996493220176684,0.9996483810480363,0.9995120825000001,0.999654435327117,accuracy
LightGBMLarge_BAG_L2_FULL,0.98,0.9798515905894795,0.9800922115637601,0.98,0.9802696476366353,0.9798515905894795,0.98,0.98,0.9798321831608072,0.98,0.9799971195897751,0.9995215776073535,0.9995257190850141,0.9995222307177831,0.9994725250000001,0.9995301620144383,accuracy
RandomForestEntr_BAG_L2_FULL,0.98,0.979792133356477,0.9801411392598685,0.98,0.98028676100081,0.979792133356477,0.98,0.98,0.9798041977935389,0.98,0.9799829492026597,0.9997325477589724,0.9997344359496071,0.999733371025727,0.999746455,0.9997364108925985,accuracy
NeuralNetTorch_BAG_L1_FULL,0.979,0.9788966593949113,0.9789388654781843,0.979,0.9791821852136804,0.9788966593949113,0.979,0.979,0.9788440544684255,0.979,0.9790183151462638,0.9998879046055852,0.9998889002530476,0.9998883041173218,0.99990999125,0.9998899532587329,accuracy
