model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted
DeepLearning_1_AutoML_2_20251028_223639,0.9649122807017544,0.9623015873015872,0.9947089947089947,0.9908179360712801,0.9523809523809523,0.9623015873015872,0.9649122807017544,0.9649122807017544,0.9523809523809523,0.9623015873015872,0.9649122807017544,0.9649122807017544,0.9523809523809523,0.9623015873015872,0.9649122807017544,0.9649122807017544
DeepLearning_grid_1_AutoML_2_20251028_223639_model_1,0.9824561403508771,0.9811507936507937,0.9953703703703703,0.993805400948258,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771
DeepLearning_grid_1_AutoML_2_20251028_223639_model_2,0.9824561403508771,0.9761904761904762,0.9933862433862434,0.9915162521094725,1.0,0.9864864864864865,0.9824561403508771,0.9829302987197724,0.9523809523809523,0.9761904761904762,0.9824561403508771,0.9824561403508771,0.975609756097561,0.9809555629802873,0.9824561403508771,0.9823623542652152
DeepLearning_grid_2_AutoML_2_20251028_223639_model_1,0.9824561403508771,0.9811507936507937,0.994047619047619,0.9922842419838696,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771
DeepLearning_grid_2_AutoML_2_20251028_223639_model_2,0.9736842105263158,0.9692460317460317,0.9927248677248677,0.9901394951962657,0.975609756097561,0.9741062479117941,0.9736842105263158,0.9737105878629081,0.9523809523809523,0.9692460317460317,0.9736842105263158,0.9736842105263158,0.963855421686747,0.9715828832571666,0.9736842105263158,0.9736164257756981
DeepLearning_grid_3_AutoML_2_20251028_223639_model_1,0.9824561403508771,0.9811507936507937,0.9953703703703703,0.9938054009482581,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771
DeepLearning_grid_3_AutoML_2_20251028_223639_model_2,0.9736842105263158,0.9692460317460317,0.9907407407407408,0.9882982045277127,0.975609756097561,0.9741062479117941,0.9736842105263158,0.9737105878629081,0.9523809523809523,0.9692460317460317,0.9736842105263158,0.9736842105263158,0.963855421686747,0.9715828832571666,0.9736842105263158,0.9736164257756981
DRF_1_AutoML_2_20251028_223639,0.9736842105263158,0.9642857142857143,0.996031746031746,0.9927746882372768,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351
GBM_1_AutoML_2_20251028_223639,0.9736842105263158,0.9692460317460317,0.9920634920634921,0.9906678626735248,0.975609756097561,0.9741062479117941,0.9736842105263158,0.9737105878629081,0.9523809523809523,0.9692460317460317,0.9736842105263158,0.9736842105263158,0.963855421686747,0.9715828832571666,0.9736842105263158,0.9736164257756981
GBM_2_AutoML_2_20251028_223639,0.9649122807017544,0.9523809523809523,0.9943783068783069,0.9928649620767849,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936
GBM_3_AutoML_2_20251028_223639,0.9649122807017544,0.9523809523809523,0.9976851851851851,0.9964569160997734,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936
GBM_4_AutoML_2_20251028_223639,0.9649122807017544,0.9523809523809523,0.9963624338624338,0.9943945427394906,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936
GBM_5_AutoML_2_20251028_223639,0.9385964912280702,0.9166666666666667,0.9953703703703702,0.9933048433048434,1.0,0.9556962025316456,0.9385964912280702,0.944037308461026,0.8333333333333334,0.9166666666666667,0.9385964912280702,0.9385964912280702,0.9090909090909091,0.9313666465984347,0.9385964912280702,0.9372286827846255
GBM_grid_1_AutoML_2_20251028_223639_model_1,0.9649122807017544,0.9523809523809523,0.9950396825396824,0.9925702424197496,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936
GBM_grid_1_AutoML_2_20251028_223639_model_2,0.956140350877193,0.9404761904761905,0.9966931216931217,0.9954212454212453,1.0,0.9675324675324675,0.956140350877193,0.9589883800410116,0.8809523809523809,0.9404761904761905,0.956140350877193,0.956140350877193,0.9367088607594937,0.951575906889814,0.956140350877193,0.9554882874504246
GBM_grid_1_AutoML_2_20251028_223639_model_3,0.9736842105263158,0.9692460317460317,0.9973544973544973,0.9958761960068581,0.975609756097561,0.9741062479117941,0.9736842105263158,0.9737105878629081,0.9523809523809523,0.9692460317460317,0.9736842105263158,0.9736842105263158,0.963855421686747,0.9715828832571666,0.9736842105263158,0.9736164257756981
GBM_grid_1_AutoML_2_20251028_223639_model_4,0.9649122807017544,0.9523809523809523,0.9957010582010581,0.9943722943722944,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936
GBM_grid_1_AutoML_2_20251028_223639_model_5,0.956140350877193,0.9404761904761905,0.9973544973544973,0.9958761960068581,1.0,0.9675324675324675,0.956140350877193,0.9589883800410116,0.8809523809523809,0.9404761904761905,0.956140350877193,0.956140350877193,0.9367088607594937,0.951575906889814,0.956140350877193,0.9554882874504246
GLM_1_AutoML_2_20251028_223639,0.9824561403508771,0.9811507936507937,0.9973544973544973,0.9961904761904763,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771,0.9761904761904762,0.9811507936507937,0.9824561403508771,0.9824561403508771
StackedEnsemble_AllModels_1_AutoML_2_20251028_223639,0.9736842105263158,0.9692460317460317,0.9953703703703705,0.9938054009482581,0.975609756097561,0.9741062479117941,0.9736842105263158,0.9737105878629081,0.9523809523809523,0.9692460317460317,0.9736842105263158,0.9736842105263158,0.963855421686747,0.9715828832571666,0.9736842105263158,0.9736164257756981
StackedEnsemble_BestOfFamily_1_AutoML_2_20251028_223639,0.9736842105263158,0.9642857142857143,0.9950396825396826,0.9937343358395991,1.0,0.98,0.9736842105263158,0.9747368421052632,0.9285714285714286,0.9642857142857143,0.9736842105263158,0.9736842105263158,0.9629629629629629,0.9712773998488284,0.9736842105263158,0.9734654095556351
XRT_1_AutoML_2_20251028_223639,0.9649122807017544,0.9523809523809523,0.9885912698412698,0.9828002000258098,1.0,0.9736842105263157,0.9649122807017544,0.966759002770083,0.9047619047619048,0.9523809523809523,0.9649122807017544,0.9649122807017544,0.95,0.9614864864864865,0.9649122807017544,0.9645092460881936
