model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted
DeepLearning_1_AutoML_1_20251028_112511,0.6461538461538462,0.6580192794784071,0.7288486248962261,0.6824097844089103,0.581913499344692,0.665956749672346,0.6461538461538462,0.6735104345196089,0.7900355871886121,0.6580192794784071,0.6461538461538462,0.6461538461538462,0.670188679245283,0.6442646452994973,0.6461538461538462,0.6419346309124673
DeepLearning_grid_1_AutoML_1_20251028_112511_model_1,0.6672064777327935,0.6746944948258449,0.7263659822434206,0.6775381736027797,0.6077032810271041,0.6765108165435146,0.6672064777327935,0.6826951375494431,0.7580071174377224,0.6746944948258449,0.6672064777327935,0.6672064777327935,0.6745843230403801,0.6670353263917725,0.6672064777327935,0.6663568335755818
DeepLearning_grid_1_AutoML_1_20251028_112511_model_2,0.6242914979757085,0.6397206960917547,0.7242085419828357,0.6712291549284999,0.5601965601965602,0.6542075437562374,0.6242914979757085,0.6626571139385241,0.8113879003558719,0.6397206960917547,0.6242914979757085,0.6242914979757085,0.6627906976744186,0.6193295353088729,0.6242914979757085,0.6154233093796619
DeepLearning_grid_2_AutoML_1_20251028_112511_model_1,0.6307692307692307,0.6425827415354841,0.7175775858878026,0.6664499996203614,0.569371727748691,0.6498663309656406,0.6307692307692307,0.6571010685827106,0.7740213523131673,0.6425827415354841,0.6307692307692307,0.6307692307692307,0.6561085972850679,0.6287535993418346,0.6307692307692307,0.6262949719963294
DeepLearning_grid_2_AutoML_1_20251028_112511_model_2,0.6526315789473685,0.6597074236038771,0.7026195978066023,0.6512872623493109,0.5954088952654233,0.6610873472609644,0.6526315789473685,0.6669904308006446,0.7384341637010676,0.6597074236038771,0.6526315789473685,0.6526315789473685,0.659253375694996,0.6525003459812717,0.6526315789473685,0.6518933935130746
DeepLearning_grid_3_AutoML_1_20251028_112511_model_1,0.6477732793522267,0.6590649505850998,0.7257525923654111,0.6731974594881958,0.5841059602649007,0.6660113134657837,0.6477732793522267,0.6733728472352558,0.7846975088967971,0.6590649505850998,0.6477732793522267,0.6477732793522267,0.6697038724373576,0.646213601439841,0.6477732793522267,0.6441023301194165
DeepLearning_grid_3_AutoML_1_20251028_112511_model_2,0.6469635627530365,0.6568546318867555,0.7144101674660124,0.6660519974053782,0.5855978260869565,0.661536387993378,0.6469635627530365,0.6683616352578419,0.7669039145907474,0.6568546318867555,0.6469635627530365,0.6469635627530365,0.6640986132511556,0.6460424806870113,0.6469635627530365,0.6444196218087764
DRF_1_AutoML_1_20251028_112511,0.6008097165991902,0.6178819012971081,0.7004938846086731,0.6491337516271705,0.5411203814064363,0.6341965543395818,0.6008097165991902,0.642562105105233,0.8078291814946619,0.6178819012971081,0.6008097165991902,0.6008097165991902,0.648108493932905,0.593464911138576,0.6008097165991902,0.5885536255594905
GBM_1_AutoML_1_20251028_112511,0.6396761133603239,0.652222480739029,0.7332282815036512,0.6834172337830262,0.5756791720569211,0.661216209405084,0.6396761133603239,0.6689041536525706,0.791814946619217,0.652222480739029,0.6396761133603239,0.6396761133603238,0.6666666666666666,0.6372980910425844,0.6396761133603239,0.6346584862698936
GBM_2_AutoML_1_20251028_112511,0.6251012145748988,0.6409038511366221,0.7268247026909838,0.6766588064477395,0.5604395604395604,0.6564217032967032,0.6251012145748988,0.6650484384037015,0.8167259786476868,0.6409038511366221,0.6251012145748988,0.6251012145748988,0.664735698769008,0.6197875004405187,0.6251012145748988,0.6157476218862982
