model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted
DeepLearning_1_AutoML_3_20251028_120942,0.9090909090909091,0.8571428571428571,0.8527777777777779,0.9090909090909091,0.9345959595959596,0.8571428571428571,0.9090909090909091,0.9090909090909091,0.8186653771760155,0.9090909090909091,0.9045923451145887,0.9761904761904763,0.9891774891774892,0.9945054945054945,0.9880624426078971,0.9965034965034966
DeepLearning_grid_1_AutoML_3_20251028_120942_model_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DeepLearning_grid_1_AutoML_3_20251028_120942_model_2,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,0.9979296066252589,0.9971767363071711,0.9967192228061794,0.9931129476584022,0.9958041958041959
DeepLearning_grid_1_AutoML_3_20251028_120942_model_3,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,0.9979296066252589,0.9971767363071711,0.9967192228061794,0.9949494949494949,0.9958041958041959
DeepLearning_grid_2_AutoML_3_20251028_120942_model_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DeepLearning_grid_2_AutoML_3_20251028_120942_model_2,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,0.9979296066252589,0.9971767363071711,0.9967192228061793,0.9921946740128558,0.9958041958041957
DeepLearning_grid_3_AutoML_3_20251028_120942_model_1,0.9393939393939394,0.9047619047619048,0.8666666666666667,0.9393939393939394,0.9636363636363636,0.9047619047619048,0.9393939393939394,0.9393939393939394,0.8611111111111112,0.9393939393939394,0.941919191919192,1.0,1.0,1.0,0.997245179063361,1.0
DeepLearning_grid_3_AutoML_3_20251028_120942_model_2,0.9393939393939394,0.937888198757764,0.937888198757764,0.9393939393939394,0.9393939393939394,0.937888198757764,0.9393939393939394,0.9393939393939394,0.937888198757764,0.9393939393939394,0.9393939393939394,0.989648033126294,0.9858836815358555,0.9835961140308966,0.9908172635445364,0.979020979020979
DRF_1_AutoML_3_20251028_120942,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,1.0,1.0,1.0,0.9995408631772269,1.0
GBM_2_AutoML_3_20251028_120942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBM_3_AutoML_3_20251028_120942,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,1.0,1.0,1.0,0.9995408631772268,1.0
GBM_4_AutoML_3_20251028_120942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBM_5_AutoML_3_20251028_120942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBM_grid_1_AutoML_3_20251028_120942_model_1,0.9696969696969697,0.9523809523809524,0.9861111111111112,0.9696969696969697,0.9709595959595961,0.9523809523809524,0.9696969696969697,0.9696969696969697,0.9672667757774142,0.9696969696969697,0.9688538411942667,1.0,1.0,1.0,0.9963269054178145,1.0
GBM_grid_1_AutoML_3_20251028_120942_model_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
