model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted
DeepLearning_1_AutoML_4_20251028_160543,0.5581395348837209,0.44682539682539685,0.38293650793650796,0.5581395348837209,0.5008305647840531,0.44682539682539685,0.5581395348837209,0.5581395348837209,0.40790219221591767,0.5581395348837209,0.5195986563975621,0.8765608465608465,0.8525138427464007,0.8618518314060788,0.8976744186046511,0.825596038270359
DeepLearning_grid_1_AutoML_4_20251028_160543_model_1,0.7441860465116279,0.6976190476190475,0.7444444444444445,0.7441860465116279,0.7503875968992247,0.6976190476190475,0.7441860465116279,0.7441860465116279,0.7153256704980842,0.7441860465116279,0.7446672012830793,0.9589682539682539,0.9482281284606863,0.9536347007225897,0.9479718766901026,0.9236908178460588
DeepLearning_grid_1_AutoML_4_20251028_160543_model_2,0.7441860465116279,0.7261904761904762,0.7736299648064353,0.7441860465116279,0.7733522747202637,0.7261904761904762,0.7441860465116279,0.7441860465116279,0.7114997905320486,0.7441860465116279,0.7400424781520055,0.9493650793650794,0.9364008859357694,0.936602905620988,0.9370470524607896,0.9121977216550534
DeepLearning_grid_1_AutoML_4_20251028_160543_model_3,0.7441860465116279,0.6976190476190475,0.7253968253968254,0.7441860465116279,0.7558139534883721,0.6976190476190475,0.7441860465116279,0.7441860465116279,0.7039682539682538,0.7441860465116279,0.746843853820598,0.914232804232804,0.9051882613510518,0.903713174155773,0.9096268253109788,0.8841838068393998
DeepLearning_grid_2_AutoML_4_20251028_160543_model_1,0.7441860465116279,0.6960317460317459,0.7583333333333333,0.7441860465116279,0.7755813953488372,0.6960317460317459,0.7441860465116279,0.7441860465116279,0.7154761904761905,0.7441860465116279,0.7451827242524918,0.9609259259259259,0.9513842746400885,0.9520802597022108,0.9526230394808004,0.9296465637503643
DeepLearning_grid_2_AutoML_4_20251028_160543_model_2,0.6744186046511628,0.6468253968253969,0.5595776772247361,0.6744186046511628,0.6378161282402048,0.6468253968253969,0.6744186046511628,0.6744186046511628,0.595083774250441,0.6744186046511628,0.6525501415036299,0.9378835978835979,0.9191915836101882,0.9256045920364676,0.9263385613845321,0.8913905644004222
DeepLearning_grid_3_AutoML_4_20251028_160543_model_1,0.7441860465116279,0.7134920634920635,0.7266178266178266,0.7441860465116279,0.7537694863276259,0.7134920634920635,0.7441860465116279,0.7441860465116279,0.7114299280965947,0.7441860465116279,0.7447236656538984,0.959047619047619,0.9484717607973421,0.9510124356003247,0.9487290427257976,0.9242362968799099
DeepLearning_grid_3_AutoML_4_20251028_160543_model_2,0.7441860465116279,0.7579365079365079,0.7316738816738817,0.7441860465116279,0.7684083358501964,0.7579365079365079,0.7441860465116279,0.7441860465116279,0.7343869731800767,0.7441860465116279,0.7452285485164395,0.9703174603174602,0.9564230343300109,0.9621368830683381,0.947755543537047,0.9327327048330628
DRF_1_AutoML_4_20251028_160543,0.7674418604651163,0.7984126984126984,0.7996456158220865,0.7674418604651163,0.7879365276766097,0.7984126984126984,0.7674418604651163,0.7674418604651163,0.7577868368190949,0.7674418604651163,0.7542608179517407,0.9685185185185186,0.9551605758582502,0.9617468994886994,0.9658193618171984,0.935043966145928
GBM_2_AutoML_4_20251028_160543,0.7906976744186046,0.8365079365079363,0.7354700854700854,0.7906976744186046,0.8211389385807989,0.8365079365079363,0.7906976744186046,0.7906976744186046,0.7703907203907203,0.7906976744186046,0.7977510861231791,0.966957671957672,0.954141749723145,0.9616461213706797,0.962466197944835,0.9378722985452307
GBM_3_AutoML_4_20251028_160543,0.7674418604651163,0.7373015873015872,0.785218253968254,0.7674418604651163,0.7824612403100774,0.7373015873015872,0.7674418604651163,0.7674418604651163,0.7278033794162826,0.7674418604651163,0.7615153788447113,0.967116402116402,0.9541749723145071,0.9626792357658632,0.9645213628988643,0.9375372086151127
GBM_4_AutoML_4_20251028_160543,0.8372093023255814,0.8587301587301587,0.7909722222222223,0.8372093023255814,0.8679263565891473,0.8587301587301587,0.8372093023255814,0.8372093023255814,0.8074112088628218,0.8372093023255814,0.84198117711246,0.9726455026455025,0.9613399778516056,0.966264347971665,0.9672255273120606,0.9449836515066239
GBM_5_AutoML_4_20251028_160543,0.8372093023255814,0.830952380952381,0.879587732528909,0.8372093023255814,0.8523273352274721,0.830952380952381,0.8372093023255814,0.8372093023255814,0.8378858024691357,0.8372093023255814,0.837090869939707,0.9702645502645503,0.9568217054263565,0.9642852136649446,0.9588967009194158,0.9335518135511292
