model,accuracy,balanced_accuracy,roc_auc,average_precision,precision,precision_macro,precision_micro,precision_weighted,recall,recall_macro,recall_micro,recall_weighted,f1,f1_macro,f1_micro,f1_weighted
DeepLearning_1_AutoML_1_20251028_140001,0.7904488517745303,0.7785991807201729,0.8067566018267285,0.5420766257470692,0.5589147286821705,0.7334306137509987,0.7904488517745303,0.8209618066273786,0.7549738219895288,0.7785991807201729,0.7904488517745303,0.7904488517745303,0.6423162583518931,0.7470669684451845,0.7904488517745303,0.7996063381736046
DeepLearning_grid_1_AutoML_1_20251028_140001_model_1,0.7706158663883089,0.7223695057569786,0.7689013970704649,0.4983888733015632,0.5339285714285714,0.7011457016434892,0.7706158663883089,0.785016088979886,0.6261780104712041,0.7223695057569786,0.7706158663883089,0.7706158663883089,0.5763855421686747,0.7095561634622225,0.7706158663883089,0.7763499876078902
DeepLearning_grid_1_AutoML_1_20251028_140001_model_2,0.774008350730689,0.7554083933416681,0.7837348750789345,0.5014167061140533,0.534684333593141,0.7145763762904898,0.774008350730689,0.804804065764473,0.7183246073298429,0.7554083933416681,0.774008350730689,0.774008350730689,0.613047363717605,0.726722723510111,0.774008350730689,0.7837383919655381
DeepLearning_grid_2_AutoML_1_20251028_140001_model_1,0.7664405010438413,0.7549154059911884,0.764569150165512,0.46497819007211244,0.5224215246636771,0.7098875867103469,0.7664405010438413,0.803914144970707,0.7319371727748691,0.7549154059911884,0.7664405010438413,0.7664405010438413,0.6096816397732229,0.7215230019756079,0.7664405010438413,0.7776188000322322
DeepLearning_grid_2_AutoML_1_20251028_140001_model_2,0.776356993736952,0.7688646368472103,0.791985907367877,0.529526426551792,0.5365126676602087,0.721067578810024,0.776356993736952,0.813634003452494,0.7539267015706806,0.7688646368472103,0.776356993736952,0.776356993736952,0.6269046582498912,0.733612567619449,0.776356993736952,0.7871336014942638
DeepLearning_grid_3_AutoML_1_20251028_140001_model_1,0.7823590814196242,0.7725120881080678,0.7925757087716809,0.5238946786639225,0.5459377372817008,0.726050379575244,0.7823590814196242,0.8163887142537904,0.7528795811518325,0.7725120881080678,0.7823590814196242,0.7823590814196242,0.6329225352112676,0.7391244723534083,0.7823590814196242,0.7923917278824255
DeepLearning_grid_3_AutoML_1_20251028_140001_model_2,0.7732254697286013,0.7650302907879245,0.792528211651535,0.5449227600701833,0.5319940476190477,0.7177655125555045,0.7732254697286013,0.8109421189249905,0.7486910994764397,0.7650302907879245,0.7732254697286013,0.7732254697286013,0.6220095693779905,0.7300169002528349,0.7732254697286013,0.7841896794651133
DRF_1_AutoML_1_20251028_140001,0.7886221294363257,0.7773826357080074,0.8086049859237462,0.5258066173302307,0.5558982266769468,0.7317952671846273,0.7886221294363257,0.8200192003411413,0.7549738219895288,0.7773826357080074,0.7886221294363257,0.7886221294363257,0.6403197158081705,0.7453261550216019,0.7886221294363257,0.7979937897210317
GBM_1_AutoML_1_20251028_140001,0.7849686847599165,0.7756490818133346,0.8144911711770733,0.546929958999684,0.5498098859315589,0.7288183319208847,0.7849686847599165,0.8186028395387042,0.7570680628272252,0.7756490818133346,0.7849686847599165,0.7849686847599165,0.6370044052863436,0.7421210383865904,0.7849686847599165,0.7948439425668291
GBM_2_AutoML_1_20251028_140001,0.7925365344467641,0.774393228839669,0.8079307451952387,0.5384193921635837,0.564,0.7335879163439194,0.7925365344467641,0.8186474088316577,0.7382198952879581,0.774393228839669,0.7925365344467641,0.7925365344467641,0.6394557823129252,0.74691235717588,0.7925365344467641,0.8008088960293767
