model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted
DeepLearning_1_AutoML_1_20251028_194015,0.71125,0.7097060315209119,0.7223840309937543,0.71125,0.7236384327878088,0.7097060315209119,0.71125,0.71125,0.7112104853362885,0.71125,0.7126704779208504,0.9720895120815974,0.9722681582117444,0.9722369351601576,0.9748238800000001,0.9724545656283274
DeepLearning_grid_1_AutoML_1_20251028_194015_model_1,0.89925,0.8988808085586777,0.9016726610456514,0.89925,0.9019468753649221,0.8988808085586777,0.89925,0.89925,0.8992092704220626,0.89925,0.8995406877777208,0.9969482269093778,0.9969601293912449,0.996961536491586,0.9969964825,0.9969723638102841
DeepLearning_grid_1_AutoML_1_20251028_194015_model_2,0.7655,0.7644159935640532,0.7966307858351371,0.7655,0.7971130704295267,0.7644159935640532,0.7655,0.7655,0.7725489986393215,0.7655,0.7732819150039818,0.9836468117106665,0.9837086993827299,0.9837041695933599,0.9842658525000001,0.9837731316159347
DeepLearning_grid_2_AutoML_1_20251028_194015_model_1,0.94,0.9399024503545008,0.9403743959460135,0.94,0.9407620735553303,0.9399024503545008,0.94,0.94,0.9397460409724145,0.94,0.9399952232515468,0.9991620323743057,0.9991661133037506,0.9991657966759531,0.999204485,0.9991703636519335
DeepLearning_grid_2_AutoML_1_20251028_194015_model_2,0.436,0.4345586811670452,0.5621737295435815,0.436,0.5653359025344342,0.4345586811670452,0.436,0.436,0.39559950535953425,0.436,0.3975112061100005,0.9496081101558401,0.9497664730600516,0.9498555410817914,0.8856176800000001,0.9499292755375656
DeepLearning_grid_3_AutoML_1_20251028_194015_model_1,0.94,0.9396958325566671,0.9406704685320493,0.94,0.9408238283852057,0.9396958325566671,0.94,0.94,0.9396977207945577,0.94,0.9399256207505361,0.9992939033040704,0.9992994770936113,0.9992986068555898,0.9992842325000001,0.9993052646512917
DeepLearning_grid_3_AutoML_1_20251028_194015_model_2,0.5965,0.5964247760683811,0.7895853217384675,0.5965,0.79094306490065,0.5964247760683811,0.5965,0.5965,0.6213817055496139,0.5965,0.622184028440091,0.9643546233335599,0.9644671155980922,0.9644582035713056,0.9594563775,0.9645849718949497
DRF_1_AutoML_1_20251028_194015,0.96,0.9597678710410259,0.9604929656611184,0.96,0.9604999721576156,0.9597678710410259,0.96,0.96,0.9598984738752772,0.96,0.9600181979828551,0.9992470359542984,0.9992495154564446,0.9992490421332861,0.9992802624999999,0.9992521176018234
GBM_1_AutoML_1_20251028_194015,0.968,0.9677820874395746,0.9682525211463042,0.968,0.9683515076482188,0.9677820874395746,0.968,0.968,0.9678648191031585,0.968,0.968023543983082,0.9996745923385357,0.9996774642192239,0.9996761171152606,0.9996961975,0.9996804926407248
GBM_2_AutoML_1_20251028_194015,0.966,0.9658360584064395,0.9661215253979899,0.966,0.966258507075876,0.9658360584064395,0.966,0.966,0.9658679172083988,0.966,0.9660183833032585,0.9997163457587882,0.9997193057815444,0.9997180031818829,0.9997462,0.9997224206197644
GBM_3_AutoML_1_20251028_194015,0.96875,0.9685867144587431,0.9689086682422604,0.96875,0.9690196010190365,0.9685867144587431,0.96875,0.96875,0.9686320578185421,0.96875,0.9687692555435637,0.9997341714055727,0.9997367658805,0.9997355045476296,0.9997537275,0.9997394995010886
GBM_4_AutoML_1_20251028_194015,0.9685,0.9683742496388157,0.9686384663020744,0.9685,0.9687502207120742,0.9683742496388157,0.9685,0.9685,0.968388901051854,0.9685,0.9685075448721489,0.9996935661330967,0.9996965747614468,0.9996953103808806,0.9997161375,0.9996997337853141
GBM_5_AutoML_1_20251028_194015,0.96575,0.9655284413285321,0.9660705983854635,0.96575,0.9662396578222603,0.9655284413285321,0.96575,0.96575,0.9656227145362825,0.96575,0.9658189133098618,0.9996610426462271,0.9996641570718416,0.9996626885147921,0.999681715,0.9996674426080474
GBM_grid_1_AutoML_1_20251028_194015_model_1,0.96725,0.9671045778025292,0.9673625108322927,0.96725,0.9676732587305019,0.9671045778025292,0.96725,0.96725,0.9670854670949272,0.96725,0.9673142227856322,0.9996779850201768,0.9996810485902315,0.9996795512591454,0.999713695,0.9996842764220296
GBM_grid_1_AutoML_1_20251028_194015_model_2,0.96525,0.9650593114246343,0.9655034369209223,0.96525,0.9656517757095884,0.9650593114246343,0.96525,0.96525,0.9651233739174193,0.96525,0.9652945694391528,0.9996080384990471,0.9996120769142581,0.9996100707508009,0.9996388,0.9996163461965076
GBM_grid_1_AutoML_1_20251028_194015_model_3,0.96675,0.966579846610202,0.9671047371899106,0.96675,0.9671917763270353,0.966579846610202,0.96675,0.96675,0.9666653457444991,0.96675,0.9667933467503231,0.999695110196648,0.9996981542802456,0.9996967877112503,0.9997000775,0.999701366550124
GBM_grid_1_AutoML_1_20251028_194015_model_4,0.96625,0.9660559740729545,0.9664905385092273,0.96625,0.9666433334801487,0.9660559740729545,0.96625,0.96625,0.9660858524484416,0.96625,0.9662593294447713,0.9997216714106557,0.9997241155559127,0.9997231799539359,0.9997445150000001,0.9997266736066347
GBM_grid_1_AutoML_1_20251028_194015_model_5,0.962,0.9619375845408666,0.9621589439734244,0.962,0.9622780306312108,0.9619375845408666,0.962,0.962,0.9619411903337827,0.962,0.9620313657893723,0.9996155756031042,0.9996186088578736,0.999617361734819,0.999654595,0.9996217976631242
GLM_1_AutoML_1_20251028_194015,0.7735,0.7722272254192019,0.7741420986106663,0.7735,0.775056861716648,0.7722272254192019,0.7735,0.7735,0.7720954770309763,0.7735,0.7731976861871662,0.9806096739211904,0.9807212846546183,0.9806860028378369,0.9823998400000001,0.9808382107019418
StackedEnsemble_AllModels_1_AutoML_1_20251028_194015,0.97625,0.9761274847009497,0.9764026096822528,0.97625,0.9764927401482875,0.9761274847009497,0.97625,0.97625,0.9761343826186514,0.97625,0.9762419432132355,0.9998592310720682,0.9998606892751877,0.9998604931112148,0.9998879275,0.9998621982777898
StackedEnsemble_BestOfFamily_1_AutoML_1_20251028_194015,0.97625,0.976059144270033,0.9763877851217081,0.97625,0.9765028537149727,0.976059144270033,0.97625,0.97625,0.9760717015169027,0.97625,0.9762262991336265,0.9998467310210665,0.9998482017302246,0.9998479981868991,0.9998703449999999,0.9998497186479031
XRT_1_AutoML_1_20251028_194015,0.95575,0.9554552467186176,0.9565922263406021,0.95575,0.9566641000791912,0.9554552467186176,0.95575,0.95575,0.9556482964578147,0.95575,0.9558305440072219,0.9990967424233513,0.9991016559127399,0.9990988164363539,0.9991651525,0.999106870130362
