model,accuracy,balanced_accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc_ovo,roc_auc_ovo_weighted,roc_auc_ovr,roc_auc_ovr_micro,roc_auc_ovr_weighted
DeepLearning_1_AutoML_2_20251028_115947,0.5353535353535354,0.2537635684431312,0.22959620341386336,0.5353535353535354,0.4704253813739872,0.2537635684431312,0.5353535353535354,0.5353535353535354,0.2398258433808306,0.5353535353535354,0.4978617006749999,0.7846731488570545,0.8398960402063114,0.85195554390798,0.9173012076117202,0.8163024164429143
DeepLearning_grid_1_AutoML_2_20251028_115947_model_1,0.6026936026936027,0.5573843471497126,0.6270064778216952,0.6026936026936027,0.601121872361442,0.5573843471497126,0.6026936026936027,0.6026936026936027,0.5678780342327325,0.6026936026936027,0.5952235885910114,0.8594568251218472,0.8677857310842112,0.8477821800386186,0.931348653009708,0.8376559346982413
DeepLearning_grid_1_AutoML_2_20251028_115947_model_2,0.5622895622895623,0.5082392015946164,0.5333159331736181,0.5622895622895623,0.5667586353860863,0.5082392015946164,0.5622895622895623,0.5622895622895623,0.47480045492142275,0.5622895622895623,0.5516437266437266,0.8735443370634506,0.8674169871601547,0.854801302804838,0.9220147603985988,0.8156265140617787
DeepLearning_grid_2_AutoML_2_20251028_115947_model_1,0.5993265993265994,0.5608542112143683,0.690767168629826,0.5993265993265994,0.6122501487282989,0.5608542112143683,0.5993265993265994,0.5993265993265994,0.570553888986495,0.5993265993265994,0.5945628829057467,0.8754218239922881,0.8798286580938055,0.8652706193229538,0.9353807434615515,0.8432065811088096
DeepLearning_grid_2_AutoML_2_20251028_115947_model_2,0.5151515151515151,0.3329744755491594,0.40325278885895227,0.5151515151515151,0.5556670871367526,0.3329744755491594,0.5151515151515151,0.5151515151515151,0.312490502028181,0.5151515151515151,0.5092150922603267,0.8350212005327732,0.8538845122228983,0.8341323089862811,0.9176173759039452,0.8253730918041919
DeepLearning_grid_3_AutoML_2_20251028_115947_model_1,0.5993265993265994,0.5343021118800108,0.5912848762693483,0.5993265993265994,0.5991696351599733,0.5343021118800108,0.5993265993265994,0.5993265993265994,0.5375437699906257,0.5993265993265994,0.5921788421564557,0.8451704030870628,0.8636225723252564,0.84290777208947,0.930750326560278,0.839089383290588
DeepLearning_grid_3_AutoML_2_20251028_115947_model_2,0.494949494949495,0.35521473161657763,0.4347307718940846,0.494949494949495,0.47557744632712573,0.35521473161657763,0.494949494949495,0.494949494949495,0.36719698852095883,0.494949494949495,0.4710622205124122,0.8273718196394493,0.8503643303013408,0.8462155633850676,0.9040624476464356,0.818429548487916
DRF_1_AutoML_2_20251028_115947,0.6127946127946128,0.5291393096998739,0.6443785179776811,0.6127946127946128,0.610656636474416,0.5291393096998739,0.6127946127946128,0.6127946127946128,0.5599952775122368,0.6127946127946128,0.6065953028986194,0.8200190542821048,0.8596261458775926,0.8439002233263022,0.9294913217472139,0.8464758795081918
GBM_1_AutoML_2_20251028_115947,0.5959595959595959,0.41660033524537593,0.41912316379130543,0.5959595959595959,0.5736048370437989,0.41660033524537593,0.5959595959595959,0.5959595959595959,0.41506354898782954,0.5959595959595959,0.5821972415589842,0.8245339392599856,0.8659538880667452,0.862606983758403,0.9369590656534165,0.8439842614833584
GBM_2_AutoML_2_20251028_115947,0.5925925925925926,0.5146416536106816,0.6161897673503361,0.5925925925925926,0.5880525467114708,0.5146416536106816,0.5925925925925926,0.5925925925925926,0.5326756819232548,0.5925925925925926,0.5825647054611456,0.8341621619870085,0.8617440663593696,0.8520320963360705,0.9342533704673622,0.8408009591011837
